Bairro,Local,Referência,Número,latitude,longitude
Méier,Jardim do Méier,Rua Santa Fé,,"-22.900270","-43.278961"
Olaria,IAPC de Olaria,Rua André de Azevedo,,"-22.842733","-43.259677"
Olaria,Praça Belmonte,Rua Theotôni de Brito,,"-22.847980","-43.268256"
Olaria,Praça Clomir Teles Cerbino,Avenida Darci Bittencourt Costa,,"-22.850526","-43.272832"
Oswaldo Cruz,IAPC Oswaldo Cruz,Rua Dona Vicência,,"-22.870289","-43.350893"
Paciência,Parque São Paulo,Rua Viçosa do Ceará,,"-22.919183","-43.621763"
Paciência,Praça na Rua Cabo Moreira Lima,Rua Sargento Newton Nascimento,,"-22.915186","-43.639338"
Paciência,Praça Vila Alzira II,Rua Cabo Justino Ladeira,,"-22.910912","-43.628697"
Padre Miguel,Praça Eurides Nascimento,Rua Guaiacá,,"-22.866923","-43.450199"
Paquetá,Praia da Moreninha,Calçadão da Praia Moreninha,,"-22.755406","-43.111587"
Parque Anchieta,Praça Antônio Casemiro de Abreu,Rua Antenor da Silveira Junior,,"-22.831698","-43.417395"
Pavuna,Praça da Somália,Rua Cônego Mariz,,"-22.818316","-43.345411"
Pavuna,Praça Sargento Fábio Pavani,Rua Mércurio,,"-22.804906","-43.353695"
Penha,Complexo do Caracol,Rua Taperoá,273,"-22.843783","-43.288011"
Penha,Largo da Penha,Avenida Braz de Pina,,"-22.842265","-43.277991"
Penha,Morro da Chatuba,Rua Silva Passos,,"-22.846217","-43.291868"
Penha,Praça Antonio José de Almeida,Rua Mafra,,"-22.828889","-43.279167"
Penha,Praça Panamericana,Rua Belisário Pena,,"-22.836790","-43.277582"
Penha,Praça Santa Emiliana,Rua Santa Basilissa,,"-22.837772","-43.269842"
Praça Seca,Rua Cândido Benicio,,"-22.897431","-43.352486"
Ramos,Piscinão de Ramos,Rua Gerson Ferreira,,"-22.840560","-43.250798"
Realengo,Praça Inonimada,Rua do Basalto,,"-22.883870"," -43.427121"
Realengo,Praça Padre Miguel,Rua General Sezefredo,,"-22.878333","-43.434167"
Realengo,Praça Santo Adolfo,Rua Santa Melânia,,"-22.859572","-43.429720"
Rocha Miranda,Praça Belmiro de Almeida,Rua Homero,,"-22.843991","-43.345582"
Rocha Miranda,Praça Catende,Rua Pão de Açúcar,,"-22.851678","-43.346850"
Santa Teresa,Praça Odylo Costa Neto,Rua Áurea,,"-22.923158","-43.188118"
Senador Vasconcelos,Praça Ibirité,Rua José Antônio de Oliveira,,"-22.904873","-43.535683"
Sepetiba,Praça Oscar Rossim,Rua Engenheiro Correia Nunes,,"-22.976792","-43.703834"
Taquara,Praça África do Sul,Rua Lukenie,,"-22.951557","-43.375459"
Taquara,Praça Albert Sabin,Rua José Perigault,,"-22.934133","-43.368526"
Taquara,Praça Nídia Otero,Estrada do Tindiba,,"-22.914629","-43.380686"
Taquara,Praça Valdir Vieira,Rua Plinio Leite,,"-22.911712","-43.387757"
Taquara,Praça Vista Chinesa,Rua Pedra do Conde,,"-22.921475","-43.380064"
Tijuca,Praça Afonso Pena,Rua Doutor Satamini,,"-22.917778","-43.217778"
Tijuca,Praça Comandante Xavier de Brito,Rua Doutor Otávio Kelly,,"-22.932253","-43.243290"
Tijuca,Praça Saens Peña,Rua Conde de Bonfim,346,"-22.924136","-43.232165"
Tomás Coelho,Praça Henrique Gonzales,Rua Paulo Pires,,"-22.870694","-43.304260"
Turiaçu,Praça Miranda Ribeiro,Estrada do Otaviano,,"-22.863765","-43.341397"
Urca,Praça General Leandro,Rua Marechal Ramon Castila,,"-22.955642","-43.174637"
Vargem Grande,Praça Vargem Grande,Rua Manhaçu,,"-22.983182","-43.497121"
Vaz Lobo,Praça no Largo de Vaz Lobo,Rua Oliveira Figueiredo,,"-22.856993","-43.328857"
Vicente de Carvalho,Área de lazer,Rua Tupiniquins,,"-22.857691","-43.309157"
Vigário Geral,Praça Catolé do Rocha,Rua Valentim Magalhães,,"-22.807603","-43.307865"
Vila da Penha,Praça Paulo Setubal,Rua Professor Arthur Thiré,,"-22.841514","-43.311738"
Vila da Penha,Praça Rubey Wanderlei,Largo do Bicão,,"-22.839299","-43.311408"
Vila Isabel,Parque Recanto do Trovador,Rua Visconde de Santa Isabel,,"-22.916685","-43.259797"
Vila Isabel,Praça Barão de Drumond,Rua Luis Barbosa,,"-22.916604","-43.250961"
Vila Valqueire,Praça Saiqui,Rua Cairuçu,,"-22.883317","-43.367560"
Vista Alegre,Praça Deputado Pedro Fernandes,Rua Paratinga,,"-22.830862","-43.315788"
